Epoch [1][1460/1780], lr: 0.00000e+00, loss: 0.0052108
Epoch [1][1465/1780], lr: 0.00000e+00, loss: 1.1563e-05
Epoch [1][1470/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][1475/1780], lr: 0.00000e+00, loss: 1.955e-06
Epoch [1][1480/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][1485/1780], lr: 0.00000e+00, loss: 4.2438e-06
Epoch [1][1490/1780], lr: 0.00000e+00, loss: 4.6253e-06
Epoch [1][1495/1780], lr: 0.00000e+00, loss: 0.0021435
Epoch [1][1500/1780], lr: 0.00000e+00, loss: 1.4305e-07
Epoch [1][1505/1780], lr: 0.00000e+00, loss: 0.00048536
Epoch [1][1510/1780], lr: 0.00000e+00, loss: 0.00057557
Epoch [1][1515/1780], lr: 0.00000e+00, loss: 1.1182e-05
Epoch [1][1520/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1525/1780], lr: 0.00000e+00, loss: 0.015855
Epoch [1][1530/1780], lr: 0.00000e+00, loss: 0.13466
Epoch [1][1535/1780], lr: 0.00000e+00, loss: 5.9605e-07
Epoch [1][1540/1780], lr: 0.00000e+00, loss: 0.40245
Epoch [1][1545/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1550/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1555/1780], lr: 0.00000e+00, loss: 6.4849e-06
Epoch [1][1560/1780], lr: 0.00000e+00, loss: 2.6226e-07
Epoch [1][1565/1780], lr: 0.00000e+00, loss: 5.614e-05
Epoch [1][1570/1780], lr: 0.00000e+00, loss: 0.00019796
Epoch [1][1575/1780], lr: 0.00000e+00, loss: 3.1826e-05
Epoch [1][1580/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][1585/1780], lr: 0.00000e+00, loss: 5.0068e-07
Epoch [1][1590/1780], lr: 0.00000e+00, loss: 1.2898e-05
Epoch [1][1595/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1600/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1605/1780], lr: 0.00000e+00, loss: 6.043e-05
Epoch [1][1610/1780], lr: 0.00000e+00, loss: 0.0021473
Epoch [1][1615/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1620/1780], lr: 0.00000e+00, loss: 1.4853e-05
Epoch [1][1625/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][1630/1780], lr: 0.00000e+00, loss: 0.00012616
Epoch [1][1635/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][1640/1780], lr: 0.00000e+00, loss: 0.0012383
Epoch [1][1645/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1650/1780], lr: 0.00000e+00, loss: 3.6239e-06
Epoch [1][1655/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][1660/1780], lr: 0.00000e+00, loss: 4.4584e-06
Epoch [1][1665/1780], lr: 0.00000e+00, loss: 0.0089484
Epoch [1][1670/1780], lr: 0.00000e+00, loss: 8.2491e-06
Epoch [1][1675/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][1680/1780], lr: 0.00000e+00, loss: 1.4782e-06
Epoch [1][1685/1780], lr: 0.00000e+00, loss: 0.11403
Epoch [1][1690/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1695/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1700/1780], lr: 0.00000e+00, loss: 1.5974e-06
Epoch [1][1705/1780], lr: 0.00000e+00, loss: 1.5259e-06
Epoch [1][1710/1780], lr: 0.00000e+00, loss: 6.3418e-06
Epoch [1][1715/1780], lr: 0.00000e+00, loss: 0.043961
Epoch [1][1720/1780], lr: 0.00000e+00, loss: 4.8398e-06
Epoch [1][1725/1780], lr: 0.00000e+00, loss: 7.8915e-06
Epoch [1][1730/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][1735/1780], lr: 0.00000e+00, loss: 3.7431e-06
Epoch [1][1740/1780], lr: 0.00000e+00, loss: 4.2915e-07
Epoch [1][1745/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1750/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1755/1780], lr: 0.00000e+00, loss: 0.30312
Epoch [1][1760/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1765/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][1770/1780], lr: 0.00000e+00, loss: 1.7452e-05
Epoch [1][1775/1780], lr: 0.00000e+00, loss: 0.0013938
Epoch [1][1780/1780], lr: 0.00000e+00, loss: 1.1468e-05
Evaluating top_k_accuracy...
top1_acc: 0.7442, top5_acc: 0.9109, train_loss: 1.1468e-05
Saving checkpoint at 1 epochs...
Epoch [2][5/1780], lr: 7.81250e-06, loss: 5.9127e-06
Epoch [2][10/1780], lr: 7.81250e-06, loss: 9.5367e-08
Epoch [2][15/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][20/1780], lr: 7.81250e-06, loss: 4.9829e-06
Epoch [2][25/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][30/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][35/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][40/1780], lr: 7.81250e-06, loss: 2.3842e-07
Epoch [2][45/1780], lr: 7.81250e-06, loss: 4.0531e-07
Epoch [2][50/1780], lr: 7.81250e-06, loss: 7.224e-06
Epoch [2][55/1780], lr: 7.81250e-06, loss: 1.1206e-06
Epoch [2][60/1780], lr: 7.81250e-06, loss: 8.0107e-06
Epoch [2][65/1780], lr: 7.81250e-06, loss: 3.5763e-07
Epoch [2][70/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][75/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][80/1780], lr: 7.81250e-06, loss: 3.1471e-06
Epoch [2][85/1780], lr: 7.81250e-06, loss: 0.20326
Epoch [2][90/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][95/1780], lr: 7.81250e-06, loss: 3.3379e-07
Epoch [2][100/1780], lr: 7.81250e-06, loss: 0.00010333
Epoch [2][105/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][110/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][115/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][120/1780], lr: 7.81250e-06, loss: 1.5736e-06
Epoch [2][125/1780], lr: 7.81250e-06, loss: 5.865e-06
Epoch [2][130/1780], lr: 7.81250e-06, loss: 6.6389e-05
